age,educ,earnings,marry
24,2,384,0
40,3,2500,1
25,3,1000,0
46,3,1500,1
36,4,1971.15,1
26,3,320,1
57,4,2884.6101,0
24,4,961,0
25,3,682.69,1
36,5,1442.3,0
54,5,2884.6101,1
33,4,1192.3,1
34,3,450,1
45,4,1846.15,1
55,4,700,1
51,3,2500,1
62,3,764,1
50,3,1319.25,0
32,3,600,1
43,3,1153.84,1
67,2,400,1
45,2,731.94,1
57,3,424.76001,1
33,3,320,1
61,3,1153.84,1
33,3,1768,1
45,3,920,1
54,3,880,0
60,3,180,1
45,3,1153.84,1
41,5,1461.53,1
36,2,1000,1
54,4,1923,1
62,3,175,1
64,3,240.38,1
28,2,385,1
41,1,923.07001,1
35,4,2115.3799,1
27,4,300,1
40,4,2884.6101,1
60,3,576.91998,1
28,4,350,0
38,5,865.38,1
31,1,433.20001,0
33,4,1298.0699,1
49,3,865,1
30,1,1500,1
31,1,1730.76,1
29,2,500,1
49,4,2346.1499,1
31,3,1346.15,1
52,4,1538.46,0
37,4,440.39999,1
31,2,950,1
34,3,1285,0
32,2,885,0
54,3,945,1
29,3,500,0
47,3,540,0
48,1,330,1
39,4,692.29999,1
36,2,230.75999,1
65,1,1600,0
51,3,1204,0
58,2,300,1
46,1,250,1
47,1,1100,1
58,5,692.29999,1
29,2,494,0
47,4,1980.76,1
30,4,844.79999,0
29,4,940,1
29,4,844.79999,1
28,5,721.15002,1
27,4,120,0
25,4,1000,0
52,3,920,1
30,2,520,0
32,3,880,1
43,3,1447.8,0
51,4,2346,1
46,3,1634.61,1
28,4,673.07001,1
51,3,1807.6899,1
35,2,1250,1
32,2,700,1
43,3,673.07001,1
47,3,1500,0
29,5,961.53003,1
69,3,100,1
22,3,560,0
61,2,470,1
56,2,673,1
56,2,1346.15,1
52,3,1400,1
36,2,920,1
36,2,1000,1
50,2,190.75,1
53,2,923.07001,1
49,2,837,1
33,2,403.5,1
46,2,315,1
48,4,1250,1
52,4,1500,1
38,3,1057.6899,1
59,2,1192,1
25,3,923,0
25,4,553.84003,0
26,4,369.23001,0
27,4,1100,0
30,1,720,1
53,2,500,0
62,3,1480,1
58,3,783,0
29,3,1346.15,0
29,3,1500,0
29,2,210,0
51,3,648,0
47,3,400,1
70,2,656,1
28,2,1710,1
37,2,714,0
33,4,1250,1
57,3,865.38,1
51,3,1430,1
24,2,961,0
27,3,1365,0
38,4,1057.6899,1
32,4,2800,1
59,3,1346,1
56,3,634.60999,1
25,3,960,0
63,4,1315,1
32,3,900,1
41,4,2884.6101,1
39,2,576,0
43,2,1400,1
55,3,276.92001,1
23,2,1071,0
52,5,2884.6101,0
30,1,504,0
26,5,1076.92,0
42,3,584.79999,1
55,2,673.20001,1
26,4,807,0
62,5,576.91998,1
59,4,1354,1
45,3,1346.15,1
58,2,1730.76,0
28,5,1250,1
31,2,400,0
45,4,1250,0
46,2,1800,1
36,2,455,0
52,3,730.76001,0
56,3,798.07001,1
76,5,1384.61,1
50,2,692.29999,1
43,3,2004.4,1
40,1,675,0
35,1,450,0
27,2,400,0
28,1,400,0
24,1,320,0
35,2,720,0
55,2,840,1
34,4,1400,1
52,3,1400,1
41,2,1200,1
52,2,520,1
24,2,120,0
63,3,2278.8401,1
55,2,771,1
60,4,1259.61,1
36,3,1009.61,1
44,4,1035.5,1
73,3,700,1
